,temp,CO2,RH,PM25,PplCnt,OccStat,LgtStat,PNO,Ppl,time
0,23.1,1532,50.5,0.2,6,1,2,13963,"[{'ID': 47, 'ImgX': 182, 'ImgY': 214, 'ActLvl': 20}, {'ID': 50, 'ImgX': 158, 'ImgY': 114, 'ActLvl': 6}, {'ID': 54, 'ImgX': 314, 'ImgY': 280, 'ActLvl': 19}, {'ID': 55, 'ImgX': 350, 'ImgY': 286, 'ActLvl': 29}, {'ID': 56, 'ImgX': 422, 'ImgY': 274, 'ActLvl': 12}, {'ID': 57, 'ImgX': 310, 'ImgY': 82, 'ActLvl': 0}]",2022-7-6-22:17:12
0,23.1,1531,50.5,0.2,6,1,2,13964,"[{'ID': 47, 'ImgX': 174, 'ImgY': 220, 'ActLvl': 23}, {'ID': 50, 'ImgX': 168, 'ImgY': 112, 'ActLvl': 8}, {'ID': 54, 'ImgX': 300, 'ImgY': 282, 'ActLvl': 21}, {'ID': 55, 'ImgX': 320, 'ImgY': 280, 'ActLvl': 27}, {'ID': 56, 'ImgX': 422, 'ImgY': 274, 'ActLvl': 1}, {'ID': 57, 'ImgX': 310, 'ImgY': 82, 'ActLvl': 0}]",2022-7-6-22:17:17
0,23.0,1528,50.4,0.2,7,1,2,13967,"[{'ID': 47, 'ImgX': 180, 'ImgY': 222, 'ActLvl': 3}, {'ID': 50, 'ImgX': 172, 'ImgY': 116, 'ActLvl': 15}, {'ID': 54, 'ImgX': 308, 'ImgY': 274, 'ActLvl': 12}, {'ID': 55, 'ImgX': 356, 'ImgY': 264, 'ActLvl': 11}, {'ID': 57, 'ImgX': 318, 'ImgY': 88, 'ActLvl': 9}, {'ID': 58, 'ImgX': 330, 'ImgY': 280, 'ActLvl': 17}, {'ID': 59, 'ImgX': 424, 'ImgY': 274, 'ActLvl': 2}]",2022-7-6-22:17:22
0,23.0,1526,50.4,0.2,7,1,2,13969,"[{'ID': 47, 'ImgX': 180, 'ImgY': 222, 'ActLvl': 2}, {'ID': 50, 'ImgX': 166, 'ImgY': 116, 'ActLvl': 4}, {'ID': 54, 'ImgX': 304, 'ImgY': 278, 'ActLvl': 8}, {'ID': 55, 'ImgX': 358, 'ImgY': 260, 'ActLvl': 8}, {'ID': 57, 'ImgX': 322, 'ImgY': 80, 'ActLvl': 3}, {'ID': 58, 'ImgX': 326, 'ImgY': 256, 'ActLvl': 14}, {'ID': 59, 'ImgX': 424, 'ImgY': 274, 'ActLvl': 3}]",2022-7-6-22:17:27
0,23.0,1524,50.2,0.2,7,1,2,13971,"[{'ID': 47, 'ImgX': 178, 'ImgY': 220, 'ActLvl': 15}, {'ID': 50, 'ImgX': 160, 'ImgY': 112, 'ActLvl': 9}, {'ID': 54, 'ImgX': 310, 'ImgY': 280, 'ActLvl': 21}, {'ID': 55, 'ImgX': 370, 'ImgY': 266, 'ActLvl': 5}, {'ID': 57, 'ImgX': 322, 'ImgY': 88, 'ActLvl': 2}, {'ID': 58, 'ImgX': 326, 'ImgY': 260, 'ActLvl': 20}, {'ID': 59, 'ImgX': 424, 'ImgY': 274, 'ActLvl': 6}]",2022-7-6-22:17:32
0,23.0,1528,50.2,0.2,7,1,2,13973,"[{'ID': 47, 'ImgX': 182, 'ImgY': 218, 'ActLvl': 8}, {'ID': 50, 'ImgX': 160, 'ImgY': 114, 'ActLvl': 8}, {'ID': 54, 'ImgX': 308, 'ImgY': 288, 'ActLvl': 19}, {'ID': 55, 'ImgX': 362, 'ImgY': 288, 'ActLvl': 18}, {'ID': 57, 'ImgX': 312, 'ImgY': 82, 'ActLvl': 2}, {'ID': 58, 'ImgX': 334, 'ImgY': 256, 'ActLvl': 27}, {'ID': 59, 'ImgX': 424, 'ImgY': 274, 'ActLvl': 5}]",2022-7-6-22:17:38
0,23.0,1529,50.2,0.2,8,1,2,13975,"[{'ID': 47, 'ImgX': 178, 'ImgY': 220, 'ActLvl': 9}, {'ID': 50, 'ImgX': 152, 'ImgY': 192, 'ActLvl': 53}, {'ID': 54, 'ImgX': 310, 'ImgY': 284, 'ActLvl': 32}, {'ID': 55, 'ImgX': 360, 'ImgY': 280, 'ActLvl': 30}, {'ID': 57, 'ImgX': 322, 'ImgY': 88, 'ActLvl': 2}, {'ID': 58, 'ImgX': 338, 'ImgY': 274, 'ActLvl': 43}, {'ID': 59, 'ImgX': 414, 'ImgY': 290, 'ActLvl': 6}, {'ID': 60, 'ImgX': 168, 'ImgY': 114, 'ActLvl': 8}]",2022-7-6-22:17:43
0,23.0,1526,50.2,0.2,7,1,2,13977,"[{'ID': 47, 'ImgX': 194, 'ImgY': 226, 'ActLvl': 3}, {'ID': 54, 'ImgX': 316, 'ImgY': 288, 'ActLvl': 19}, {'ID': 55, 'ImgX': 360, 'ImgY': 284, 'ActLvl': 20}, {'ID': 57, 'ImgX': 320, 'ImgY': 88, 'ActLvl': 3}, {'ID': 58, 'ImgX': 332, 'ImgY': 278, 'ActLvl': 26}, {'ID': 59, 'ImgX': 406, 'ImgY': 278, 'ActLvl': 8}, {'ID': 60, 'ImgX': 160, 'ImgY': 120, 'ActLvl': 19}]",2022-7-6-22:17:48
0,23.1,1527,50.2,0.1,7,1,2,13979,"[{'ID': 47, 'ImgX': 164, 'ImgY': 232, 'ActLvl': 33}, {'ID': 50, 'ImgX': 154, 'ImgY': 208, 'ActLvl': 21}, {'ID': 54, 'ImgX': 304, 'ImgY': 280, 'ActLvl': 15}, {'ID': 55, 'ImgX': 356, 'ImgY': 276, 'ActLvl': 9}, {'ID': 57, 'ImgX': 320, 'ImgY': 88, 'ActLvl': 1}, {'ID': 59, 'ImgX': 406, 'ImgY': 278, 'ActLvl': 3}, {'ID': 60, 'ImgX': 146, 'ImgY': 124, 'ActLvl': 25}]",2022-7-6-22:17:53
0,23.1,1528,50.2,0.1,7,1,2,13981,"[{'ID': 47, 'ImgX': 176, 'ImgY': 204, 'ActLvl': 25}, {'ID': 50, 'ImgX': 162, 'ImgY': 208, 'ActLvl': 25}, {'ID': 54, 'ImgX': 308, 'ImgY': 280, 'ActLvl': 14}, {'ID': 55, 'ImgX': 362, 'ImgY': 268, 'ActLvl': 7}, {'ID': 57, 'ImgX': 318, 'ImgY': 88, 'ActLvl': 1}, {'ID': 60, 'ImgX': 178, 'ImgY': 194, 'ActLvl': 22}, {'ID': 61, 'ImgX': 332, 'ImgY': 272, 'ActLvl': 13}]",2022-7-6-22:17:58
